#,Company,Symbol,Weight,Price,Chg,% Chg
341,Expedia Group Inc,EXPE,0.04%,214.65,-3.47,-1.59%
342,Constellation Brands Inc,STZ,0.04%,149.5,-1.33,-0.88%
343,Rollins Inc,ROL,0.04%,53.46,0.44,0.83%
344,W R Berkley Corp,WRB,0.04%,67.54,0.07,0.10%
345,Hubbell Inc,HUBB,0.04%,475.01,14.03,3.04%
346,Cognizant Technology Solutions Corp,CTSH,0.04%,52.75,0.43,0.82%
347,Equity Residential,EQR,0.04%,66.2,0.44,0.67%
348,American Water Works Co Inc,AWK,0.04%,125.2,1.32,1.07%
349,JB Hunt Transport Services Inc,JBHT,0.04%,258.77,-0.46,-0.18%
350,Willis Towers Watson PLC,WTW,0.04%,257.4,-0.83,-0.32%
351,Synchrony Financial,SYF,0.04%,71.83,-0.17,-0.24%
352,PPG Industries Inc,PPG,0.04%,107.78,1.15,1.08%
353,Regions Financial Corp,RF,0.04%,27.83,0.12,0.43%
354,Expand Energy Corp,EXE,0.03%,97.94,0.35,0.36%
355,Bunge Global SA,BG,0.03%,120.71,0.25,0.21%
356,KeyCorp,KEY,0.03%,21.56,0.07,0.33%
357,Darden Restaurants Inc,DRI,0.03%,203.51,6.44,3.27%
358,Dollar General Corp,DG,0.03%,105.65,0.54,0.51%
359,HP Inc,HPQ,0.03%,25.24,3.34,15.25%
360,CMS Energy Corp,CMS,0.03%,74.53,0.89,1.21%
361,NiSource Inc,NI,0.03%,47.85,0.14,0.29%
362,Tyson Foods Inc,TSN,0.03%,65.05,-1.42,-2.14%
363,Church & Dwight Co Inc,CHD,0.03%,96.25,0.61,0.64%
364,Corpay Inc,CPAY,0.03%,347.9,0.44,0.13%
365,Williams-Sonoma Inc,WSM,0.03%,192.5,0.56,0.29%
366,Fidelity National Information Services Inc,FIS,0.03%,43.56,-0.06,-0.14%
367,LyondellBasell Industries NV,LYB,0.03%,69.72,-0.36,-0.51%
368,Ralph Lauren Corp,RL,0.03%,377.78,2.88,0.77%
369,Ulta Beauty Inc,ULTA,0.03%,515.04,10.99,2.18%
370,Principal Financial Group Inc,PFG,0.03%,103.85,-0.07,-0.07%
371,Verisk Analytics Inc,VRSK,0.03%,171.11,-0.49,-0.29%
372,Loews Corp,L,0.03%,108.87,-0.31,-0.28%
373,West Pharmaceutical Services Inc,WST,0.03%,316.42,0.29,0.09%
374,Mettler-Toledo International Inc,MTD,0.03%,1103.09,12.64,1.16%
375,F5 Inc,FFIV,0.03%,393.63,9.93,2.59%
376,PulteGroup Inc,PHM,0.03%,116.43,0.13,0.11%
377,T Rowe Price Group Inc,TROW,0.03%,103.39,1.44,1.41%
378,Lennar Corp,LEN,0.03%,88.86,0.03,0.03%
379,SBA Communications Corp,SBAC,0.03%,205.57,-2.5,-1.20%
380,Quest Diagnostics Inc,DGX,0.03%,195.21,1.39,0.72%
381,Akamai Technologies Inc,AKAM,0.03%,147.23,0.99,0.68%
382,Super Micro Computer Inc,SMCI,0.03%,35.58,2.12,6.34%
383,Omnicom Group Inc,OMC,0.03%,74.93,1.16,1.57%
384,Veralto Corp,VLTO,0.03%,86.8,0.84,0.98%
385,Labcorp Holdings Inc,LH,0.03%,259.93,4.18,1.63%
386,STERIS PLC,STE,0.03%,216.57,-3.1,-1.41%
387,Expeditors International of Washington Inc,EXPD,0.03%,158.48,1.29,0.82%
388,CH Robinson Worldwide Inc,CHRW,0.03%,174.23,-3.9,-2.19%
389,Albemarle Corp,ALB,0.03%,171.58,1.68,0.99%
